,機關名稱,子目名稱,"('期初轉入數', 106)","('期初轉入數', 107)","('期初轉入數', 108)","('支用數', 106)","('支用數', 107)","('支用數', 108)",106支用率,107支用率,108支用率
58,花蓮縣光復鄉光復國民小學,應付代收款-非政府機關委託補助-財團法人中國財稅金融文教基金會,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
59,花蓮縣光復鄉光復國民小學,應付代收款-非政府機關委託補助-財團法人國家實驗研究院,0.0,7200.0,7200.0,0.0,0.0,0.0,0.0,0.0,0.0
60,花蓮縣光復鄉光復國民小學,應付代收款-非政府機關委託補助-財團法人國泰世華銀行文化慈善基金會,0.0,0.0,70000.0,0.0,0.0,0.0,0.0,0.0,0.0
61,花蓮縣光復鄉光復國民小學,應付代收款-非政府機關委託補助-財團法人愛心第二春文教基金會,0.0,0.0,1125.0,0.0,0.0,0.0,0.0,0.0,0.0
76,花蓮縣光復鄉光復國民小學,應付代收款－代收代付－校外捐助學校急難求助金,28501.0,28501.0,28501.0,0.0,0.0,0.0,0.0,0.0,0.0
97,花蓮縣光復鄉光復國民小學,應付代收款－非政府機關委託補助,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0
108,花蓮縣光復鄉大興國民小學,應付代收款-教育儲蓄專戶-102年度教育儲蓄專戶,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
206,花蓮縣光復鄉大進國民小學,應付代收款-其他-各界贊助,69255.0,96009.0,102009.0,1246.0,0.0,9068.0,0.017991480759511947,0.0,0.08889411718573852
219,花蓮縣光復鄉大進國民小學,應付代收款-教育儲蓄專戶-101年,5565.0,5567.0,5569.0,0.0,0.0,0.0,0.0,0.0,0.0
326,花蓮縣光復鄉太巴塱國民小學,應付代收款-教育儲蓄專戶,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
355,花蓮縣光復鄉太巴塱國民小學,應付代收款-非政府機關委託補助-其他各項補助,98886.0,98886.0,98886.0,0.0,4346.0,0.0,0.0,0.04394959852759744,0.0
367,花蓮縣光復鄉太巴塱國民小學,應付代收款-非政府機關委託補助-鄧云嬌助學金,8800.0,8800.0,8800.0,0.0,0.0,0.0,0.0,0.0,0.0
412,花蓮縣光復鄉西富國民小學,顧問捐贈獎學金專戶,19318.0,19318.0,19318.0,0.0,0.0,0.0,0.0,0.0,0.0
415,花蓮縣卓溪鄉卓楓國民小學,應付代收款--其他-教育發展經費,24624.0,24624.0,24624.0,0.0,0.0,0.0,0.0,0.0,0.0
422,花蓮縣卓溪鄉卓楓國民小學,應付代收款--非政府機關委託補助--卓溪鄉教育會,255.0,255.0,255.0,0.0,0.0,0.0,0.0,0.0,0.0
424,花蓮縣卓溪鄉卓楓國民小學,應付代收款--非政府機關委託補助--花蓮高工第66屆汽修科畢業生,37000.0,37000.0,37000.0,0.0,0.0,0.0,0.0,0.0,0.0
450,花蓮縣卓溪鄉卓楓國民小學,應付代收款-教育儲蓄專戶-101年度教育儲蓄專戶,2009.0,2009.0,2009.0,0.0,0.0,0.0,0.0,0.0,0.0
518,花蓮縣卓溪鄉卓樂國民小學,應付代收款-非政府機關委託補助-各界贊助款-合唱團-崇她社,1203.0,1203.0,1203.0,0.0,0.0,0.0,0.0,0.0,0.0
519,花蓮縣卓溪鄉卓樂國民小學,應付代收款-非政府機關委託補助-各界贊助款-合唱團-微笑牙醫,5618.0,5618.0,5618.0,0.0,0.0,0.0,0.0,0.0,0.0
520,花蓮縣卓溪鄉卓樂國民小學,應付代收款-非政府機關委託補助-各界贊助款-婦聯會補助課後照顧學生點心費,20270.0,20270.0,20270.0,0.0,0.0,0.0,0.0,0.0,0.0
522,花蓮縣卓溪鄉卓樂國民小學,應付代收款-非政府機關委託補助-各界贊助款-花蓮晶英獅子會徐懿香贊助學生各項活動,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,0.0
524,花蓮縣卓溪鄉卓樂國民小學,應付代收款-非政府機關委託補助-獎(助)學金-大陸崇左市捐贈助學金,18255.0,18255.0,18255.0,0.0,0.0,0.0,0.0,0.0,0.0
525,花蓮縣卓溪鄉卓樂國民小學,應付代收款-非政府機關委託補助-獎(助)學金-文教榮譽基金,19761.0,19761.0,19761.0,0.0,0.0,0.0,0.0,0.0,0.0
546,花蓮縣卓溪鄉卓清國民小學,應付代收款-其他-獎助學金-朝榮文教基金會,18840.0,18840.0,18840.0,0.0,0.0,0.0,0.0,0.0,0.0
613,花蓮縣卓溪鄉卓溪國民小學,應付代收款-其他-退休教師捐贈獎助學金,140068.0,140011.0,150151.0,1200.0,1000.0,11000.0,0.00856726732729817,0.007142295962460092,0.07325958535074692
655,花蓮縣卓溪鄉卓溪國民小學,應付代收款-非政府機關委託補助-捐贈學生運動鞋經費,6297.0,9747.0,9747.0,550.0,0.0,0.0,0.08734317929172622,0.0,0.0
701,花蓮縣卓溪鄉古風國民小學,應付代收款-非政府機關委託補助-各項參賽、訓練及設備經費,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0
707,花蓮縣卓溪鄉古風國民小學,應付代收款-非政府機關委託補助-社團法人中華民國新人類把愛傳出去協會-校外教學,0.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0
736,花蓮縣卓溪鄉太平國民小學,應付代收款-教育儲蓄專戶-教育儲蓄專戶,20020.0,20034.0,20048.0,0.0,0.0,0.0,0.0,0.0,0.0
771,花蓮縣卓溪鄉崙山國民小學,應付代收款-教育儲蓄專戶,4771.0,4774.0,4778.0,0.0,0.0,0.0,0.0,0.0,0.0
857,花蓮縣卓溪鄉立山國民小學,應付代收款-教育儲蓄專戶-教育儲蓄專戶,113.0,113.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
1017,花蓮縣吉安鄉化仁國民小學,教育儲蓄專戶(#94527),7697.0,7697.0,7697.0,0.0,0.0,0.0,0.0,0.0,0.0
1085,花蓮縣吉安鄉北昌國民小學,應付代收款-其他-仁愛基金,337840.0,339079.0,313977.0,0.0,28875.0,11300.0,0.0,0.08515714626974835,0.03598989734916889
1179,花蓮縣吉安鄉北昌國民小學,應付代收款-非政府機關委託補助-科學教育贊助款,28375.0,28375.0,28375.0,0.0,0.0,0.0,0.0,0.0,0.0
1209,花蓮縣吉安鄉南華國民小學,應付代收款-其他-楊豐碩先生贊助款-改善教學環境,1000.0,1000.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0
1258,花蓮縣吉安鄉南華國民小學,應付代收款-校友獎助學金專戶-其他,74977.0,71529.0,68580.0,4000.0,3500.0,4000.0,0.053349693906131215,0.04893120272896308,0.058326042578011085
1262,花蓮縣吉安鄉南華國民小學,應付代收款-非政府機關委託補助-邱子真捐款-改善教學環境設施及設備經費,12360.0,12360.0,12360.0,0.0,0.0,0.0,0.0,0.0,0.0
1288,花蓮縣吉安鄉吉安國民小學,應付代收款-其他-定存獎助學金〈柯登祥〉,100000.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0
1289,花蓮縣吉安鄉吉安國民小學,應付代收款-其他-定存獎助學金〈楊阿耀〉,90000.0,90000.0,90000.0,0.0,0.0,0.0,0.0,0.0,0.0
1290,花蓮縣吉安鄉吉安國民小學,應付代收款-其他-定存獎助學金〈陳桂英〉,200000.0,200000.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0
1299,花蓮縣吉安鄉吉安國民小學,應付代收款-其他-贊助圖書經費,500.0,500.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0
